Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,22,TOR,35,20,25.0,3.3,8.0,0.3,1.2,3.0,6.7,0.9,1.6,2.3,5.2,7.5,1.2,0.6,0.6,1.0,2.2,7.8
Steven Adams,C,28,MEM,45,44,25.8,2.5,4.9,0.0,0.0,2.5,4.9,1.6,2.8,4.3,5.0,9.3,3.0,1.0,0.6,1.5,1.7,6.7
Bam Adebayo,C,24,MIA,22,22,32.9,6.9,13.2,0.0,0.0,6.9,13.1,4.7,6.1,2.5,7.3,9.9,3.3,1.2,0.5,3.0,3.2,18.5
Santi Aldama,PF,21,MEM,26,0,10.6,1.4,3.7,0.2,1.5,1.3,2.2,0.5,0.8,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1.0,3.5
LaMarcus Aldridge,C,36,BRK,33,10,22.9,5.8,10.3,0.4,1.1,5.5,9.2,1.5,1.8,1.5,4.0,5.5,0.9,0.4,1.1,0.9,1.8,13.6
Nickeil Alexander-Walker,SG,23,NOP,42,18,26.5,4.7,12.8,2.0,6.2,2.8,6.6,1.2,1.7,0.8,2.6,3.4,2.6,0.8,0.3,1.6,1.8,12.6
Grayson Allen,SG,26,MIL,41,40,28.1,4.1,9.6,2.6,6.7,1.5,3.0,1.0,1.2,0.5,2.9,3.4,1.3,0.8,0.4,0.6,1.5,11.8
Jarrett Allen,C,23,CLE,40,40,32.7,6.7,9.6,0.0,0.2,6.6,9.4,2.9,4.3,3.4,7.6,11.0,1.9,0.8,1.4,1.9,1.8,16.3
Jose Alvarado,PG,23,NOP,18,0,9.2,1.1,3.1,0.4,1.4,0.7,1.6,0.5,0.8,0.3,0.7,1.0,1.6,1.0,0.1,0.2,1.0,3.1
Justin Anderson,SF,28,TOT,6,0,12.8,1.0,3.2,0.5,2.5,0.5,0.7,1.0,1.2,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,0.7,2.0,0.7,0.7,1.0,1.3,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
Justin Anderson,SF,28,IND,3,0,10.0,0.7,3.7,0.3,3.0,0.3,0.7,1.0,1.0,0.7,0.7,1.3,1.0,0.3,0.3,0.3,1.7,2.7
Kyle Anderson,PF,28,MEM,38,8,22.4,3.2,7.4,0.7,1.9,2.6,5.5,1.0,1.6,0.9,4.4,5.3,2.6,1.1,0.6,1.1,1.5,8.2
Giannis Antetokounmpo,PF,27,MIL,39,39,32.7,9.9,18.7,1.1,3.8,8.8,14.9,7.7,10.8,1.8,9.5,11.3,6.0,1.0,1.5,3.5,3.3,28.6
Thanasis Antetokounmpo,SF,29,MIL,28,5,11.9,1.4,2.9,0.0,0.4,1.3,2.5,0.5,0.9,1.1,1.7,2.8,0.7,0.5,0.3,0.6,1.9,3.3
Carmelo Anthony,PF,37,LAL,44,3,26.8,4.6,10.5,2.3,6.0,2.3,4.6,1.9,2.4,0.9,3.3,4.2,1.0,0.7,0.8,0.8,2.3,13.4
Cole Anthony,PG,21,ORL,34,34,33.1,6.2,15.7,2.3,7.1,3.9,8.6,3.3,4.0,0.6,5.4,6.0,5.8,0.8,0.3,2.7,2.7,18.0
OG Anunoby,SF,24,TOR,29,29,36.7,6.9,16.0,2.5,7.3,4.4,8.7,2.4,3.1,1.5,3.8,5.3,2.4,1.7,0.5,1.7,3.0,18.6
